"usertype","from_station_name","total_rides"
"Customer","Lake Shore Dr & Monroe St",280
"Customer","Streeter Dr & Grand Ave",238
"Customer","Millennium Park",117
"Customer","Shedd Aquarium",106
"Customer","Michigan Ave & Oak St",89
"Customer","Michigan Ave & Washington St",89
"Customer","Kingsbury St & Kinzie St",83
"Customer","Wabash Ave & Grand Ave",60
"Customer","Columbus Dr & Randolph St",59
"Customer","Orleans St & Chestnut St (NEXT Apts)",58
"Subscriber","Clinton St & Washington Blvd",7563
"Subscriber","Clinton St & Madison St",6280
"Subscriber","Canal St & Adams St",6208
"Subscriber","Canal St & Madison St",4448
"Subscriber","Columbus Dr & Randolph St",4407
"Subscriber","Kingsbury St & Kinzie St",4213
"Subscriber","Michigan Ave & Washington St",3611
"Subscriber","Franklin St & Monroe St",3424
"Subscriber","LaSalle St & Jackson Blvd",3185
"Subscriber","Dearborn St & Monroe St",3143
